exp,phi_0,dV_ges,eps_0,h_dis_0,h_c_0,DPZ_height_ivgu,DPZ_bot_ivgu,DPZ_pos_ivgu,std_DPZ_height_ivgu,std_DPZ_bot_ivgu,std_DPZ_pos_ivgu,rho_c,rho_d,eta_c,etc_d,sigma,T,r_S_star,h_p_star,D_A,L_A
2mmol_21C,0.0008023947041348,998.4437317152104,0.499859416347493,0.0212301599999999,0.1028011779761904,"[nan, 21.230159999999994, 19.946122222222222, 20.307458333333333, 19.257605555555557, 17.034947222222225, 15.77087149122807, 16.347099333333336, 15.168057723577235, 15.723270000000005, nan, 15.727283333333338, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 99.56620000000001, 102.5753703703704, 101.51750000000001, 100.60922222222223, 101.86763333333336, 102.7422894736842, 102.92176000000003, 103.77870731707311, 103.85560000000001, nan, 99.66925, nan, nan, nan, nan, nan, nan, nan, nan, 110.189, 110.46266666666668, 110.43766666666666, 110.35266666666666, 110.9365, 110.889, 111.13, 112.258, 112.611, 112.93100000000001, nan, nan, nan, nan, nan, nan]","[nan, 21.75, 24.25, 26.75, 29.25, 31.75, 34.25, 36.75, 39.25, 41.75, nan, 46.75, nan, nan, nan, nan, nan, nan, nan, nan, 78.969, 81.406, 83.844, 86.281, 88.719, 91.156, 93.594, 96.031, 98.469, 100.906, nan, nan, nan, nan, nan, nan]","[nan, 0.9347802431587888, 2.509901987368547, 3.3273209201539964, 1.7491310834081137, 1.2907662214255686, 1.7172303514099168, 0.9066287228896504, 1.3784525760144224, 0.6959709975997493, nan, 1.3973227253891174, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 1.5468974432715328, 2.2994825027876993, 4.306382737028584, 1.9594145667633611, 0.8885638736023795, 1.5855056301159713, 0.5734696504611205, 0.33272745933439674, 1.4732049416153887, nan, 0.7428402138638772, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.23609390787001366, 0.025735837529272335, 0.035725807665238626, 0.009192388155418767, nan, nan, nan, 0.09616652224136742, 0.009899494936608692, nan, nan, nan, nan, nan, nan]","[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan]",1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0006914477432014,995.615377184466,0.5002858573287191,0.0135078194444444,0.1089744797101449,"[nan, 13.507819444444449, 10.841095555555562, 12.463538172043016, 9.619065384615386, 16.21336041666667, 18.22523958333333, 12.96633333333333, 9.608600000000001, 8.670545238095237, 7.43798125, nan, 23.685499999999998, nan, nan, 8.509888888888895, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 109.89816666666665, 112.41940000000002, 111.65693548387098, 112.01584615384613, 103.36649999999999, 100.7145, 105.03539999999998, 107.79813333333333, 110.08642857142857, 110.06762499999998, nan, 95.148, nan, nan, 108.56333333333333, nan, nan, nan, 109.117, 109.91572222222221, 110.13134375, 110.08497058823531, 109.95583333333332, 110.29581249999995, 110.64789655172414, 110.81262857142856, 110.9923076923077, 112.4072105263158, 112.63033333333334, 112.985, nan, nan, nan, nan, nan]","[nan, 21.75, 24.25, 26.75, 29.25, 31.75, 34.25, 36.75, 39.25, 41.75, 44.25, nan, 49.25, nan, nan, 56.75, nan, nan, nan, 76.531, 78.96900000000002, 81.40599999999996, 83.84400000000004, 86.28099999999996, 88.71900000000004, 91.15599999999996, 93.59400000000004, 96.03099999999998, 98.46900000000002, 100.90599999999996, 103.344, nan, nan, nan, nan, nan]","[nan, 7.457524105152806, 1.374906801162752, 1.6562948753232627, 0.9882380862962918, 8.993740350570892, 6.5303110832579785, 7.657907253290548, 4.902732892438991, 3.661505705082494, 0.9524884924288185, nan, nan, nan, nan, 0.34679506169323343, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 7.956743967645728, 0.5385838308537877, 0.884974535810076, 1.0365020377977938, 8.778643500808405, 5.9168278422044445, 7.162318744652458, 4.2428998147605625, 3.6014401331921406, 0.700562414370462, nan, nan, nan, nan, 0.18994823856339133, nan, nan, nan, nan, 0.1411831541173952, 0.22362881246862776, 0.12665139109504614, 0.08099470882189008, 0.14942652472142595, 0.10905154247536367, 0.09879660797770005, 0.1154977522258825, 0.08018213914954266, 0.2058989670090272, 0.012727922061358338, nan, nan, nan, nan, nan]","[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, nan, 0.0, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.460026530009149e-14, 0.0, 0.0, nan, nan, nan, nan, nan]",1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0005959063986898,1000.7094768608416,0.4998987022648924,0.02998275,0.1050202868794326,"[nan, 29.98275000000001, 15.544811904761898, 17.67845555555556, 17.25798958333333, 18.25635606060606, 17.76986805555556, 15.724447619047618, 12.507110526315786, 9.341672222222218, 9.511777777777775, 26.851041666666667, nan, nan, nan, nan, nan, 15.803333333333335, nan, nan, 18.9715, nan, nan, nan, nan, nan, 13.4085, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 96.558, 112.01114285714286, 107.93591666666664, 108.89337499999999, 103.54327272727272, 101.44091666666668, 103.7314285714286, 106.47005263157892, 109.84744444444445, 109.33866666666668, 92.62299999999999, nan, nan, nan, nan, nan, 96.524, nan, nan, 108.58676923076925, 110.08578571428572, 109.9684, 109.8595714285714, 109.87788888888889, 110.32675, 108.80225, 110.74524999999998, 111.45746666666666, 112.26333333333334, nan, nan, nan, nan, nan, nan]","[nan, 21.75, 24.25, 26.75, 29.25, 31.75, 34.25, 36.75, 39.25, 41.75, 44.25, 46.75, nan, nan, nan, nan, nan, 71.656, nan, nan, 78.96900000000002, 81.40599999999998, 83.84400000000002, 86.28099999999998, 88.719, 91.156, 93.594, 96.03099999999998, 98.46900000000002, 100.906, nan, nan, nan, nan, nan, nan]","[nan, nan, 2.5205899526351754, 5.170286457303084, 6.29752825038206, 7.619679111617184, 6.653474320394144, 4.607760370904467, 5.526779569604182, 2.2484548057128797, 0.7367725213822078, 4.988343713445594, nan, nan, nan, nan, nan, nan, nan, nan, 2.7782225432819367, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 0.7115095287652957, 5.292809732298984, 6.576009817891088, 7.723944485700411, 6.453168727748243, 4.967872640419494, 5.544214276299256, 1.599055722173054, 1.2397247678416374, 0.39032294321497896, nan, nan, nan, nan, nan, nan, nan, nan, 3.6463075422004247, 0.16082249104641194, 0.13143428559006867, 0.07865149167598276, 0.1576788226462619, 0.1031224999696981, 3.120469769655418, 0.08825153445313796, 0.5038844633256241, 0.0999024524223507, nan, nan, nan, nan, nan, nan]","[nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 1.4747300885539142e-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4709632111668204e-14, 0.0, nan, nan, nan, nan, nan, nan]",1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0006208865371595,998.9666430420712,0.3995159343372393,0.0322479999999999,0.1011704745762712,"[nan, 32.24799999999999, 29.002111111111105, 26.324479166666666, 25.396283333333333, nan, 19.052837962962958, 17.91638775510204, 16.151768817204296, 17.03608928571429, 19.00700000000001, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 93.413, 95.19333333333333, 97.7065, 97.2014, nan, 99.51383333333332, 101.61508163265304, 103.08280645161295, 101.26957142857138, 101.414, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 21.75, 24.25, 26.75, 29.25, nan, 34.25, 36.75, 39.25, 41.75, 44.25, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 3.592658275077312, 4.619484645539692, 3.9688627270079855, nan, 1.232801958089567, 1.7989065142886618, 1.7213777606246086, 0.888364042947912, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 3.4785353718674905, 4.244850157207304, 2.2901358693317744, nan, 0.6458603245466702, 0.8200370376984676, 0.33636076062811304, 0.6350719077729142, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0005994401454037,999.5966291262137,0.400065471279729,0.029244125,0.0976891741071428,"[nan, 29.244125, 27.20802857142857, 27.01428888888889, 25.962984375, 24.59082604166667, 23.07616485507246, 21.8882445652174, 21.159358974358977, 17.19277777777779, nan, 21.413869230769226, 24.3012619047619, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.127500000000005, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 94.799, 97.85614285714287, 95.75566666666667, 97.34818749999998, 95.53000000000002, 97.61639130434781, 97.95021739130436, 99.65746153846156, 102.47066666666667, nan, 96.68392307692307, 94.57228571428571, nan, nan, nan, nan, nan, nan, nan, nan, 110.742, 110.721, nan, 110.268, 110.77, nan, 108.8475, nan, 113.305, nan, nan, nan, nan, nan, nan]","[nan, 21.75, 24.25, 26.75, 29.25, 31.75, 34.25, 36.75, 39.25, 41.75, nan, 46.75, 49.25, nan, nan, nan, nan, nan, nan, nan, nan, 81.406, 83.844, nan, 88.719, 91.156, nan, 96.031, nan, 100.906, nan, nan, nan, nan, nan, nan]","[nan, 0.8698663916670495, 1.025469983566445, 2.0798916652699186, 3.6126451351364106, 3.192022595291373, 1.3962113649383694, 1.9009991452679065, 0.5818342907395062, 7.2991162047449505, nan, 0.718032570216019, 1.393695811459935, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 0.20800641015763577, 2.084010670843719, 1.3110226288410585, 4.374524907061336, 4.53850834526059, 0.44705145009698527, 1.364325668404944, 0.458377503699119, 6.908037082510005, nan, 1.3726918482516055, 0.251313691287541, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 5.337949091177252, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, nan, nan, nan, nan, nan, nan, nan, nan]",1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0006167711764025,1003.6799088996764,0.4003825178051422,0.0224178333333333,0.1005960227272727,"[nan, 22.41783333333335, 14.536750000000008, 29.973092592592593, 26.868256410256414, 23.295225, 22.42267567567567, 21.126865740740737, 19.651749999999996, 13.064749999999998, nan, 27.02083333333333, 24.552833333333325, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 110.462, 109.26599999999999, 100.03077777777777, 101.0973076923077, 98.6687, 99.24870270270269, 101.2306111111111, 102.00775000000002, 108.154, nan, 92.64949999999999, 95.4305, nan, nan, nan, nan, nan, nan, nan, 110.46433333333334, 110.72466666666666, 110.67275, 111.05775, 110.49766666666666, 110.86449999999999, 112.471, 112.502, 112.515, nan, nan, nan, nan, nan, nan, nan]","[nan, 21.75, 24.25, 26.75, 29.25, 31.75, 34.25, 36.75, 39.25, 41.75, nan, 46.75, 49.25, nan, nan, nan, nan, nan, nan, nan, 78.969, 81.406, 83.844, 86.281, 88.719, 91.156, 93.594, 96.031, 98.469, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 1.1710866807751172, 7.011912673642298, 7.09786020029895, 6.691964020773278, 1.8194657271638806, 2.3117106806739405, 2.988365809763415, 5.596148420019685, nan, 0.6540737725975695, 0.03370542323655976, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 1.002677415722519, 6.188568832488207, 7.273587725286327, 7.452974857956608, 1.045435073303211, 2.197789438475173, 1.9492902720772036, 3.0689651350251577, nan, 2.362443755944251, 0.4532554467405807, nan, nan, nan, nan, nan, nan, nan, 0.05784750066626348, 0.10854185060764282, 0.14322331048633613, 0.06571846518800445, 0.27915288523197057, 0.028991378028656246, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.000595618199435,1007.0927,0.300563236353818,0.0265932507936508,0.1001188548809523,"[nan, nan, nan, 26.593250793650807, 24.903730272108845, 23.804765624999995, 21.901211785714285, 20.940807401656315, 20.784785846560847, 20.367256785714282, 20.97294166666666, 19.434919841269835, 24.180749999999993, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 15.971865343915347, 15.66178547619047, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 100.06366666666668, 99.62635714285716, 97.22187500000001, 100.03865, 101.917652173913, 101.10050000000003, 100.55555, 98.97209999999998, 97.8565, 94.633, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 97.60777777777777, 99.97154000000006, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 26.75, 29.25, 31.75, 34.25, 36.75, 39.25, 41.75, 44.25, 46.75, 49.25, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 86.281, 88.71900000000004, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 3.7505193159890466, 1.9163446584263322, 1.7601444617634692, 2.0054420084662503, 0.9514166787373197, 1.1765324629466594, 1.0539520200928292, 1.584575775787622, 1.0347934375333272, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.8655769564965619, 1.0868083361206768, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 1.7157420163493897, 1.4861947075639845, 1.784773519712423, 1.1121272001538463, 0.3835642908527729, 0.3399431465070909, 0.7994275237877897, 0.812345499840501, 0.44953920852357476, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.29372043586451885, 0.32479878920554356, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0005789362917708,993.7884747572814,0.2984009489871027,0.032670375,0.0993623094827586,"[nan, nan, 32.67037500000001, 29.40945, 27.05089074074074, 27.020132051282054, 23.03754358974359, 21.55671847826087, 20.8126764957265, 20.775576811594203, nan, 23.984583333333337, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.52897777777778, 15.414000000000016, nan, 14.052693333333332, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 99.037, 100.25399999999999, 97.71922222222223, 96.72338461538462, 98.32348717948719, 100.49415217391304, 101.31589743589741, 101.02904347826087, nan, 94.477, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 97.50999999999999, 99.458, nan, 102.9564, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 24.25, 26.75, 29.25, 31.75, 34.25, 36.75, 39.25, 41.75, nan, 46.75, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 86.281, 88.719, nan, 93.59400000000001, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 2.735619359715447, 2.0095267614540586, 6.296135513992954, 4.291070786973534, 2.4056498288192065, 1.6089647565799559, 1.274491535448011, 1.0764222198784068, nan, 3.7148255725837585, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3.0778312968471577, nan, nan, 0.4560149895467868, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 0.8329717882377611, 0.8471139238614792, 5.147106196149875, 3.055092921076257, 1.5789102483041044, 1.051761632635484, 0.6207132906614592, 0.8523188945598438, nan, 3.3102057337875497, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.3605468069474483, nan, nan, 0.14666909088905716, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, nan, nan, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0004926553371498,993.4503634304208,0.2985951655661972,0.0271058749999999,0.1042170742937852,"[nan, nan, 27.105874999999994, 16.900499999999997, 18.04863095238095, 18.29336458333334, 16.83438888888889, 18.490431707317068, 17.74531472868217, 17.21200512820513, 15.418557894736846, 16.60786388888889, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17.86399999999999, 17.861899999999988, nan, 12.982966666666664, nan, nan, nan, nan, 27.022599999999997, nan, nan, nan, nan]","[nan, nan, 105.7905, 109.96325, 109.85257142857142, 106.13624999999999, 106.26244444444445, 102.96380487804879, 103.40904651162788, 103.44920512820514, 106.61210526315789, 103.71866666666666, nan, nan, nan, nan, nan, nan, nan, nan, 111.062, 112.688, nan, 98.205, 104.32666666666667, nan, 102.64416666666666, nan, 114.286, nan, nan, 101.715, nan, nan, nan, nan]","[nan, nan, 24.25, 26.75, 29.25, 31.75, 34.25, 36.75, 39.25, 41.75, 44.25, 46.75, nan, nan, nan, nan, nan, nan, nan, nan, 78.969, 81.406, nan, 86.281, 88.719, nan, 93.594, nan, 98.469, nan, nan, 105.781, nan, nan, nan, nan]","[nan, nan, 2.398329425089479, 2.3048075118470646, 2.474207532996373, 5.664981746867006, 5.086021550636773, 1.9448145576506963, 2.5083851763355485, 1.8409427130114557, 2.3281839779064937, 2.9314321605358855, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.3477551149875325, nan, 0.9153358943275676, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 3.4938146058427333, 1.5463055702760267, 1.7136392908216154, 6.723729635721958, 5.457554720548188, 1.1263117956301476, 1.7657642747478046, 1.4053264685228488, 0.9160494221709043, 4.239080120340572, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 7.540771865885707, nan, 0.20209939798690016, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, nan, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0009129270611455,1500.5412996763755,0.500445131587062,0.01793495,0.103834645754717,"[nan, 17.93495, 18.400235, 26.1884125, 19.542138963963964, 22.421038888888887, 21.071208333333328, 19.380603703703706, 15.916987310606073, 16.46289416666667, 13.809860416666666, 12.12400000000001, 13.493687499999995, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 31.997500000000002]","[nan, 107.493, 108.6662, 100.70266666666667, 103.67556756756753, 103.64933333333333, 102.027, 101.16555555555554, 105.74299999999998, 104.62790000000003, 106.20724999999999, 109.049, 105.8835, nan, nan, nan, nan, nan, nan, 108.832, nan, 109.12833333333333, nan, 109.03075, nan, 109.44125000000001, 109.5615, 109.6995, 110.05000000000001, 110.6215, 110.80199999999999, nan, nan, nan, nan, 94.127]","[nan, 21.75, 24.25, 26.75, 29.25, 31.75, 34.25, 36.75, 39.25, 41.75, 44.25, 46.75, 49.25, nan, nan, nan, nan, nan, nan, 76.531, nan, 81.406, nan, 86.281, nan, 91.156, 93.594, 96.031, 98.469, 100.906, 103.344, nan, nan, nan, nan, 155.0]","[nan, 4.1175369866786475, 5.519748337435778, 9.328639273545607, 1.9790086624454546, 5.763805944393831, 3.3274324011937355, 4.722247188646421, 2.2915516148832555, 5.562953986298439, 5.174049105352672, nan, 1.577820393870125, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 1.9980825808759741, 0.9409190719716518, 10.021378720848078, 1.5519938348341995, 7.777575526259237, 5.904501799474702, 5.1071699382121425, 2.0081398079745583, 4.761613229194959, 4.019713619567109, nan, 0.2566797615707164, nan, nan, nan, nan, nan, nan, nan, nan, 0.17172749731284942, nan, 0.02099801577927423, nan, 0.3545987168617493, 0.267993470069705, 0.6479014842808526, 0.5181148521322256, 0.45325544674057067, 0.05232590180780315, nan, nan, nan, nan, nan]","[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, nan, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, nan, nan]",1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
